Sample	Test-Sample 1	Test-Sample 2	Test-Sample 3	Test-Sample 4	Test-Sample 5	Test-Sample 6	Test-Sample 7	Test-Sample 8	Test-Sample 9	Test-Sample 10
RPL26	10.97363997	11.04826207	11.5819961	11.36916109	11.14554372	10.87632509	7.689005559	11.06559789	10.96452137	11.20658706
RPL26L1	6.685517527	6.575818478	6.577511409	6.631273152	6.602724628	6.517212777	6.746374713	6.630163829	6.428710595	6.496558674
RPL27	10.88477342	10.86194761	12.10969356	11.24567154	10.99380171	11.04068699	8.060436547	10.88281115	11.00250563	10.9375136
RPL27A	7.935060772	7.942033616	8.177770189	7.985677283	7.981362527	8.214460717	7.195911421	7.89756029	7.846426045	8.418759517
RPL27AP5	6.570950123	6.247631351	6.569220683	6.467491434	6.91861283	6.571678327	7.233686777	6.582315132	6.51528668	6.422362528
RPL28	9.398115181	9.361062101	9.485018194	9.312163697	9.467297824	9.585217955	7.887403416	9.396846637	9.422096312	9.506678498
RPL29	10.27199585	10.50175162	10.61992177	10.24410548	10.51646467	10.38208762	9.272418954	10.45105021	10.24233821	10.55146291
RPL29P12	7.253535517	7.135986257	7.683696454	7.265877544	7.527289326	7.320069428	7.36831438	7.304958164	7.154230787	7.657189807
RPL29P30	5.47978673	5.449336865	5.615536948	5.360659247	5.615189681	5.487470271	5.907347377	5.400227088	5.256829515	5.346414448
RPL3	12.39434747	12.70391871	12.56258827	12.58982901	12.60493076	12.81397754	7.463393585	12.4001483	12.55488379	12.8488987
RPL30	12.64629769	12.89727636	12.5948261	13.09777208	12.60736731	12.94232023	7.079474117	12.71871267	12.78181663	13.11676631
RPL30P1	4.720409812	4.899325501	4.652170961	4.997865939	4.839148347	4.840679748	5.127311361	4.76386832	4.869195293	4.863209983
RPL31	9.025928537	9.607959044	9.388340241	9.869791227	9.218878016	9.577547789	7.389119342	9.298639989	9.61322406	9.777178041
RPL31P13	6.416147271	6.164156731	6.34835991	6.175324989	6.310447373	6.267045078	7.220852295	6.336201252	6.231749192	5.941622809
RPL31P28	4.993769452	4.889410265	4.851039386	4.684936527	4.992714057	4.654996836	5.83804917	4.823769737	4.640736598	4.56422572
RPL31P57	7.201447632	6.837691	7.03527199	6.963127281	7.092133424	6.457891376	8.241506541	7.283004985	7.046109032	6.546422228
RPL31P63	5.324537013	5.583251292	4.957306385	5.422872113	5.23457796	5.726267214	5.254197187	5.357921428	5.293146057	5.853344492
RPL31P7	7.410849866	7.343700951	7.301468758	7.013696735	7.329670784	6.993708323	7.984777308	7.266364912	6.961623328	7.156012267
RPL32	8.363928854	8.293646371	8.695183043	7.959990344	8.661803033	8.619900821	8.252495137	8.613612684	8.537268884	8.710524065
RPL32P3	6.92381474	6.890677719	7.434478113	6.767363476	7.049325818	7.212258044	7.046294601	6.898365579	6.879999764	6.956393583
RPL34	6.434257916	6.459344726	6.330766328	6.605885416	6.486456956	6.330818306	6.732662657	6.30188391	6.506095699	6.557137407
RPL34-AS1	5.828842264	5.396522584	5.219416372	5.249509813	5.644686943	5.065611084	7.288349333	5.486424775	5.30811692	5.290284315
RPL34P34	12.60004065	13.19548294	12.75998178	13.12557975	12.67179977	13.06428301	10.64995669	12.59684199	12.86213171	13.32728597
RPL34P6	10.82433031	10.94183258	10.94482185	11.03553456	10.77477059	10.98682332	9.831307244	10.75983826	10.9648751	11.08123709
RPL35	10.71227765	10.96868119	11.26190686	11.16447958	10.93752831	11.136126	7.202280577	10.85404241	10.95248646	11.00908679
RPL35A	12.68428182	12.94279305	12.69949004	13.01760705	12.76024798	13.0254995	9.5116736	12.74042799	12.82734667	13.11786546
RPL35P1	10.04783281	10.28377133	10.60059127	10.22374834	9.871628066	10.26827297	8.090562364	10.05631256	10.16902304	10.26809749
RPL35P5	10.11530381	10.25738784	10.812418	10.49693365	10.10781862	10.4226535	6.0733254	10.19335287	10.30579956	10.58954816
RPL35P9	6.898268826	6.869748051	7.027331015	6.812061757	6.90883692	6.492505368	7.268817998	6.948577488	6.827895221	6.842626912
RPL36	10.41276036	10.53458497	10.95853097	10.29997496	10.45210737	10.5686022	9.546805735	10.25797706	10.45863218	10.61148594
RPL36A-HNRNPH2	10.67038851	10.93902528	11.20280917	11.11276662	10.72100238	11.02104863	8.272134384	10.80223264	10.80739122	11.04734239
RPL36AL	9.61209443	9.868609607	10.18389586	10.02750519	9.743639505	9.992570183	7.772723651	9.621669125	10.00786824	9.801996061
RPL36AP39	6.517571762	6.522470113	6.43794844	6.162755859	6.302169143	6.436271797	7.343585483	6.283318054	6.23483084	6.491695994
RPL36AP40	4.707392265	4.625492605	4.690824926	4.74323489	4.719106758	4.682191225	5.098663782	4.62957228	4.86659152	4.640852259
RPL36AP6	6.479780264	5.714682382	6.184627436	5.749319725	6.44142372	5.821654098	7.460316637	6.30544163	5.811887133	5.804825413
